Lead Origin,Lead Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,What is your current occupation,Lead Quality,Asymmetrique Activity Score,Asymmetrique Profile Score,Last Notable Activity,Converted,Prob_Score
API,Google,No,No,2,444,2,Unemployed,Worst,14,16,Modified,0,11.17472743
Landing Page Submission,Direct Traffic,No,No,20,814,2.5,Unknown,Unkown,14,16,Modified,0,8.787118996
API,Direct Traffic,No,No,8,58,4,Unemployed,High in Relevance,15,16,Modified,1,13.18532387
Landing Page Submission,Google,No,No,4,1298,4,Unemployed,Not Sure,14,16,SMS Sent,1,73.22519584
API,Google,No,No,2,13,1,Unemployed,Not Sure,14,16,SMS Sent,1,37.85948885
Lead Add Form,Reference,No,No,0,0,0,Unemployed,High in Relevance,14,16,SMS Sent,1,97.57105592
Landing Page Submission,Direct Traffic,No,No,3,425,1.5,Unknown,Unkown,14,16,Email Opened,1,8.8264606
Landing Page Submission,Google,No,No,4,824,4,Unemployed,Might be,14,16,SMS Sent,0,92.01398983
Landing Page Submission,Direct Traffic,No,No,9,145,4.5,Unemployed,Unkown,14,16,Modified,0,2.969845878
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,11,15,Modified,0,4.783206286
API,Google,No,No,4,219,4,Unemployed,Not Sure,14,16,Email Opened,0,13.49883036
API,Google,No,No,11,565,2.75,Unemployed,Unkown,15,15,Email Opened,0,38.24081795
Landing Page Submission,Google,No,No,4,165,4,Unemployed,Unkown,14,16,Email Opened,0,10.54786249
API,Olark Chat,No,No,0,0,0,Unemployed,Low in Relevance,14,16,Email Opened,1,67.36370759
API,Organic Search,No,No,11,591,3.67,Working Professional,High in Relevance,16,13,Modified,1,79.94610772
Landing Page Submission,Direct Traffic,No,No,4,887,4,Unemployed,Low in Relevance,14,16,Email Opened,1,70.34454352
Landing Page Submission,Direct Traffic,No,No,3,1686,3,Unemployed,Not Sure,14,16,Email Opened,0,47.45688035
API,Organic Search,No,No,5,110,5,Unemployed,Not Sure,14,16,SMS Sent,0,34.70861801
Landing Page Submission,Direct Traffic,No,No,3,1364,1.5,Unemployed,Not Sure,14,16,SMS Sent,1,71.89421892
API,Olark Chat,No,No,0,0,0,Unemployed,Not Sure,14,16,SMS Sent,1,42.59592021
Landing Page Submission,Direct Traffic,No,No,1,790,1,Working Professional,Low in Relevance,14,16,Modified,1,83.8025826
Landing Page Submission,Direct Traffic,No,No,2,640,2,Unemployed,High in Relevance,14,16,SMS Sent,1,73.68707712
Landing Page Submission,Direct Traffic,Yes,No,1,1270,1,Unemployed,Not Sure,14,16,Email Bounced,0,20.75896929
Landing Page Submission,Direct Traffic,No,No,1,249,1,Unemployed,Unkown,14,16,Modified,0,4.284397564
Landing Page Submission,Direct Traffic,No,No,5,339,5,Unemployed,Not Sure,14,16,SMS Sent,0,22.44287853
Landing Page Submission,Direct Traffic,No,No,3,574,1.5,Unemployed,Not Sure,14,16,Email Opened,1,12.05827796
Landing Page Submission,Google,No,No,9,978,4.5,Unemployed,Unkown,14,16,Page Visited on Website,0,33.41347658
Landing Page Submission,Direct Traffic,No,No,5,1098,5,Unemployed,Not Sure,14,16,SMS Sent,1,53.67679587
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,14,16,SMS Sent,1,40.75538615
Landing Page Submission,Organic Search,No,No,10,2112,3.33,Unknown,Unkown,14,16,Email Opened,1,75.76066195
Landing Page Submission,Direct Traffic,No,No,2,268,2,Unemployed,Worst,14,16,Email Opened,0,7.912441984
API,Organic Search,No,No,3,1169,3,Unknown,Unkown,14,16,SMS Sent,1,79.99992529
Landing Page Submission,Direct Traffic,No,No,1,226,1,Unemployed,Worst,14,16,Modified,0,3.238018762
Landing Page Submission,Direct Traffic,No,No,6,122,3,Unemployed,Not Sure,14,16,SMS Sent,1,19.45472861
Landing Page Submission,Direct Traffic,No,No,2,45,2,Unknown,Unkown,14,16,Modified,0,1.723631341
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,14,16,Email Opened,0,13.51482013
API,Direct Traffic,No,No,3,129,3,Unknown,Unkown,14,16,Email Link Clicked,0,8.122742147
Landing Page Submission,Direct Traffic,No,No,3,1158,1.5,Unemployed,Not Sure,14,16,Email Opened,1,28.50746622
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,14,16,Email Opened,0,13.51482013
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,14,16,SMS Sent,1,40.75538615
Landing Page Submission,Direct Traffic,No,No,1,131,1,Unemployed,Might be,14,16,Modified,0,19.36052148
Landing Page Submission,Google,No,No,4,1770,4,Unemployed,Low in Relevance,14,16,Email Opened,1,94.74439393
Landing Page Submission,Direct Traffic,No,No,2,422,2,Unemployed,Worst,14,16,Email Opened,0,10.22192228
Landing Page Submission,Direct Traffic,No,No,4,75,4,Unknown,Unkown,14,16,Page Visited on Website,0,3.60400576
Landing Page Submission,Google,No,No,5,100,2.5,Unemployed,Might be,15,18,Modified,1,25.05137401
Landing Page Submission,Organic Search,Yes,No,3,1801,3,Unknown,Unkown,14,16,Modified,0,24.30556352
Landing Page Submission,Direct Traffic,Yes,No,4,383,4,Unemployed,Unkown,14,16,SMS Sent,0,20.90519157
API,Olark Chat,No,No,0,0,0,Unemployed,Worst,14,16,Email Opened,0,16.51980143
Landing Page Submission,Google,No,No,11,1042,5.5,Unemployed,Might be,14,16,SMS Sent,1,94.42830063
Landing Page Submission,testone,No,No,5,304,2.5,Unemployed,Worst,14,16,Page Visited on Website,0,14.98030123
API,Google,No,No,6,263,1.2,Unemployed,Unkown,14,16,Page Visited on Website,0,24.25032975
API,Google,No,No,2,161,2,Unemployed,Worst,14,16,Modified,0,6.976444758
Landing Page Submission,Direct Traffic,No,No,6,158,3,Unemployed,Unkown,14,16,SMS Sent,0,27.97566882
Landing Page Submission,Organic Search,No,No,8,137,8,Unknown,Unkown,14,16,Modified,0,1.957712182
Landing Page Submission,Google,Yes,No,5,333,5,Unemployed,Unkown,14,16,SMS Sent,0,25.21786075
Landing Page Submission,Direct Traffic,Yes,No,2,108,2,Unemployed,Not Sure,14,16,SMS Sent,0,11.06186046
Landing Page Submission,Google,No,No,6,397,6,Unknown,Unkown,14,16,Modified,0,3.549847389
Landing Page Submission,Direct Traffic,Yes,No,1,907,1,Unknown,Unkown,14,16,Modified,0,4.53043736
Landing Page Submission,Google,No,No,4,692,4,Unemployed,Unkown,14,16,Email Opened,0,23.60470514
Landing Page Submission,Google,No,No,4,1304,4,Unemployed,Low in Relevance,14,16,Email Opened,1,88.49418276
Landing Page Submission,Direct Traffic,No,No,6,223,2,Unemployed,Not Sure,14,16,SMS Sent,1,24.27309544
Lead Add Form,Google,Yes,No,0,0,0,Unemployed,Unkown,14,16,SMS Sent,1,68.21891005
Landing Page Submission,Organic Search,No,No,4,296,4,Unknown,Unkown,14,16,Email Opened,0,8.616270161
Landing Page Submission,Direct Traffic,No,No,9,1022,1.5,Unemployed,Unkown,14,16,Page Visited on Website,1,32.55972791
API,Google,No,No,3,248,3,Unemployed,Unkown,14,16,SMS Sent,0,54.13752159
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,14,16,Email Opened,0,20.24259789
API,Google,No,No,3,1660,1.5,Unemployed,Low in Relevance,14,16,Email Opened,1,97.09196823
API,Olark Chat,No,No,0,0,0,Unemployed,High in Relevance,14,16,Email Opened,1,42.60321174
API,Olark Chat,No,No,17,869,1.21,Unknown,Unkown,14,16,Page Visited on Website,0,46.40352821
Landing Page Submission,Direct Traffic,No,No,10,360,2.5,Unemployed,Unkown,14,16,Email Opened,0,12.65009461
Landing Page Submission,Direct Traffic,No,No,6,353,6,Unemployed,Low in Relevance,14,16,Email Opened,0,43.2788524
Landing Page Submission,Google,No,No,4,1547,4,Unemployed,High in Relevance,14,20,SMS Sent,1,94.77107858
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,14,16,Modified,0,5.724457493
Landing Page Submission,Direct Traffic,No,No,5,420,5,Unknown,Unkown,14,16,Modified,0,2.672419266
API,Direct Traffic,No,No,3,1759,3,Unemployed,High in Relevance,14,16,Email Opened,1,89.13685009
Landing Page Submission,Direct Traffic,No,No,2,65,2,Unemployed,Not Sure,14,16,SMS Sent,0,18.18780365
Landing Page Submission,Direct Traffic,Yes,No,3,53,3,Unemployed,Worst,14,16,Modified,0,1.065489417
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,14,16,SMS Sent,0,52.76963629
Landing Page Submission,Direct Traffic,No,No,4,1445,4,Unknown,Unkown,14,16,SMS Sent,1,68.67483782
Landing Page Submission,Direct Traffic,No,No,2,1289,2,Unemployed,Might be,14,16,Email Opened,0,82.58041948
Landing Page Submission,Direct Traffic,No,No,4,949,4,Unemployed,Might be,14,16,Email Opened,1,68.49358718
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,15,15,Modified,0,6.163964919
Landing Page Submission,Direct Traffic,No,No,6,243,6,Unemployed,Worst,14,16,Modified,0,2.271902668
Landing Page Submission,Direct Traffic,No,No,2,1449,2,Unemployed,Not Sure,14,16,SMS Sent,1,73.61676656
Lead Add Form,Reference,No,No,1,886,1,Unemployed,High in Relevance,14,16,SMS Sent,1,99.46938928
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,14,16,Olark Chat Conversation,0,18.14126938
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,14,16,Modified,0,8.976659202
Landing Page Submission,Direct Traffic,Yes,No,2,195,2,Unknown,Unkown,14,16,Modified,0,1.179135367
Landing Page Submission,Direct Traffic,No,No,5,391,1.25,Unemployed,Unkown,14,16,Page Visited on Website,0,12.62987446
Landing Page Submission,Direct Traffic,No,No,2,1213,2,Unemployed,Worst,14,16,Modified,0,15.81281683
Landing Page Submission,Organic Search,No,No,3,1109,3,Unemployed,Unkown,14,16,SMS Sent,0,76.32944047
Landing Page Submission,Direct Traffic,Yes,No,74,1209,12.33,Unemployed,Not Sure,14,16,Page Visited on Website,0,21.97442245
API,Organic Search,No,No,7,1061,3.5,Unknown,Unkown,14,16,SMS Sent,1,77.15006878
Landing Page Submission,Direct Traffic,Yes,No,1,231,1,Unknown,Unkown,14,16,Modified,0,1.360456229
API,Google,No,No,2,1241,1,Unknown,Unkown,14,16,SMS Sent,1,84.20312244
Landing Page Submission,Direct Traffic,No,No,4,209,4,Unemployed,Unkown,14,16,Email Opened,0,7.788463144
Landing Page Submission,Google,No,No,4,690,4,Unemployed,Worst,14,16,Email Opened,0,19.35696396
Landing Page Submission,Direct Traffic,Yes,No,5,29,5,Unemployed,Worst,14,16,Modified,0,0.872296451
Landing Page Submission,Direct Traffic,No,No,7,1123,7,Unemployed,Unkown,14,16,Modified,1,12.09741729
API,Google,No,No,3,1287,1.5,Unemployed,Not Sure,14,16,SMS Sent,1,85.85544894
Lead Add Form,Reference,No,No,0,0,0,Unemployed,High in Relevance,14,16,SMS Sent,1,97.57105592
Lead Add Form,Reference,No,No,1,1770,1,Unemployed,High in Relevance,14,16,Email Link Clicked,1,99.53875512
Landing Page Submission,Google,No,No,4,107,4,Unemployed,Not Sure,14,16,SMS Sent,0,23.66823269
Landing Page Submission,Google,No,No,3,295,3,Unemployed,Worst,14,16,Modified,0,4.67430257
Landing Page Submission,Direct Traffic,No,No,2,265,2,Unknown,Unkown,14,16,Email Opened,0,6.321432499
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,14,16,Modified,0,5.724457493
Landing Page Submission,Direct Traffic,Yes,No,3,191,3,Unknown,Unkown,14,16,Modified,0,1.082610702
API,Organic Search,No,No,6,54,2,Unknown,Unkown,14,16,SMS Sent,0,37.85631609
Lead Add Form,Reference,No,No,0,0,0,Unemployed,Unkown,14,16,SMS Sent,0,93.21366059
API,Google,No,No,3,79,1.5,Unknown,Unkown,13,15,Modified,0,4.910921259
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,14,16,Modified,0,5.724457493
Landing Page Submission,Direct Traffic,No,No,6,288,3,Unemployed,Unkown,14,16,Email Opened,0,10.06393631
Landing Page Submission,Google,No,No,3,1379,3,Unemployed,High in Relevance,14,16,SMS Sent,1,93.79413014
Landing Page Submission,Direct Traffic,No,No,4,296,4,Unemployed,Worst,14,16,Email Opened,0,7.167343509
Landing Page Submission,Direct Traffic,No,No,3,1127,3,Unknown,Unkown,14,16,SMS Sent,0,57.02223447
Landing Page Submission,Direct Traffic,Yes,No,8,1814,2.67,Unemployed,Might be,14,16,SMS Sent,0,96.73376368
Landing Page Submission,Direct Traffic,No,No,12,142,4,Unemployed,Not Sure,14,16,Email Opened,0,5.473486634
Landing Page Submission,Direct Traffic,No,No,2,63,2,Unknown,Unkown,14,16,Modified,0,1.78025961
Landing Page Submission,Direct Traffic,No,No,4,101,4,Unemployed,Unkown,14,16,SMS Sent,0,23.38396248
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,14,16,Email Link Clicked,0,20.35631553
Landing Page Submission,Google,No,No,3,380,3,Unknown,Unkown,14,16,SMS Sent,1,33.88110792
Landing Page Submission,Organic Search,No,No,9,1562,3,Unemployed,Not Sure,14,16,Modified,1,32.69254602
Landing Page Submission,Direct Traffic,No,No,3,1152,3,Unemployed,High in Relevance,14,16,Email Opened,1,59.9764542
Landing Page Submission,Direct Traffic,No,No,2,280,2,Unemployed,Not Sure,14,16,SMS Sent,1,24.77449342
Landing Page Submission,Google,Yes,No,5,78,5,Unknown,Unkown,14,16,SMS Sent,0,11.52574949
Landing Page Submission,Direct Traffic,Yes,No,15,56,5,Unknown,Unkown,14,16,Modified,0,0.877473955
Landing Page Submission,Direct Traffic,No,No,2,567,2,Unemployed,Not Sure,14,16,Page Visited on Website,0,10.40308365
Landing Page Submission,Direct Traffic,No,No,2,1198,2,Unemployed,Low in Relevance,14,16,Email Opened,1,83.06693567
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,14,16,Modified,1,5.724457493
Landing Page Submission,Google,No,No,4,239,4,Unemployed,Unkown,14,16,Email Opened,0,11.89390557
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,14,16,SMS Sent,1,40.75538615
Landing Page Submission,Direct Traffic,Yes,No,2,150,2,Unemployed,Worst,14,16,Modified,0,1.372594358
Landing Page Submission,Google,No,No,3,160,3,Unemployed,High in Relevance,14,16,SMS Sent,1,61.94917817
API,Google,No,No,2,213,2,Unknown,Unkown,14,16,Email Opened,0,14.3550193
Landing Page Submission,Google,No,No,10,97,3.33,Unemployed,Might be,14,16,Email Opened,1,45.38337531
Landing Page Submission,Organic Search,Yes,No,5,1067,5,Unemployed,Unkown,14,16,Modified,0,10.42530871
Landing Page Submission,Google,No,No,2,222,2,Unemployed,Unkown,14,16,Modified,0,5.62138499
Landing Page Submission,Direct Traffic,No,No,7,705,7,Unemployed,Unkown,14,16,SMS Sent,0,42.0696721
Landing Page Submission,Organic Search,No,No,6,1578,3,Unemployed,Might be,15,13,Email Opened,1,93.0926529
Landing Page Submission,Direct Traffic,Yes,No,3,1608,3,Unknown,Unkown,14,16,Modified,0,12.73306385
Landing Page Submission,Direct Traffic,No,No,1,139,1,Unemployed,Might be,14,16,Modified,0,19.58984605
API,Olark Chat,Yes,No,0,0,0,Unemployed,Might be,14,16,Email Bounced,0,47.22049202
Landing Page Submission,Direct Traffic,No,No,4,1446,4,Unemployed,Might be,14,16,Email Opened,1,84.35677649
Landing Page Submission,Direct Traffic,No,No,13,306,4.33,Unemployed,Unkown,14,16,SMS Sent,0,33.82702916
Landing Page Submission,Google,No,No,6,267,3,Unknown,Unkown,14,16,Modified,0,3.751739588
Landing Page Submission,Direct Traffic,No,No,4,1768,4,Working Professional,Might be,14,16,SMS Sent,0,99.55964774
Landing Page Submission,Organic Search,Yes,No,4,233,4,Unknown,Unkown,14,16,Modified,0,1.660636253
Landing Page Submission,Direct Traffic,No,No,3,1083,3,Unemployed,Might be,14,16,SMS Sent,1,92.9737114
Landing Page Submission,Organic Search,No,No,5,152,5,Unemployed,Unkown,14,16,Modified,0,4.054293698
API,Olark Chat,No,No,3,289,1,Unknown,Unkown,14,16,Modified,0,8.999223385
Landing Page Submission,Organic Search,No,No,4,74,4,Unemployed,Unkown,14,16,Email Opened,0,9.260589931
API,Organic Search,No,No,8,10,4,Unemployed,Might be,14,16,SMS Sent,1,83.83642212
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,17,15,Modified,0,6.98678892
API,Olark Chat,No,No,0,0,0,Unemployed,Might be,14,16,SMS Sent,1,88.14507555
API,Olark Chat,No,No,3,1097,1.5,Unemployed,Might be,14,16,SMS Sent,1,98.05784318
Landing Page Submission,Direct Traffic,No,No,2,167,2,Unemployed,Worst,14,16,Email Opened,0,6.667510668
Landing Page Submission,Google,No,No,1,151,1,Unknown,Unkown,14,16,Modified,0,3.368514435
API,Google,No,No,24,282,3.43,Unemployed,Might be,16,16,SMS Sent,1,93.21359324
Landing Page Submission,Direct Traffic,No,No,6,379,2,Unemployed,Might be,14,16,SMS Sent,0,81.03038424
Landing Page Submission,Direct Traffic,No,No,5,768,5,Unemployed,Unkown,14,16,Email Opened,0,17.81819208
Landing Page Submission,Direct Traffic,No,No,2,131,2,Unknown,Unkown,14,16,Email Opened,0,5.017014571
Landing Page Submission,Direct Traffic,No,No,8,1568,8,Unemployed,High in Relevance,14,16,SMS Sent,1,90.47917527
Landing Page Submission,Direct Traffic,No,No,5,320,5,Unemployed,Not Sure,14,16,Page Visited on Website,1,5.510033689
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,14,16,Modified,0,5.724457493
Landing Page Submission,Direct Traffic,No,No,5,1436,1.67,Unemployed,Worst,14,16,Email Link Clicked,0,44.47262055
Landing Page Submission,Direct Traffic,No,No,2,1133,2,Unemployed,Unkown,14,16,Email Opened,0,34.88002446
API,Olark Chat,No,No,0,0,0,Unemployed,Might be,14,16,SMS Sent,0,88.14507555
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,14,16,Email Opened,0,13.51482013
API,Google,No,No,2,388,2,Unemployed,Might be,14,16,SMS Sent,0,91.65370092
API,Olark Chat,No,No,0,0,0,Unemployed,Might be,14,16,SMS Sent,1,88.14507555
Landing Page Submission,Direct Traffic,No,No,2,1651,2,Unemployed,High in Relevance,14,16,SMS Sent,1,94.67369399
Landing Page Submission,Google,No,No,4,1606,4,Unemployed,Might be,14,16,SMS Sent,1,97.96411436
API,Olark Chat,No,No,2,992,1,Unemployed,Might be,14,16,SMS Sent,1,97.72399667
Landing Page Submission,Direct Traffic,No,No,4,1678,2,Unknown,Unkown,14,16,Modified,0,26.50600588
Landing Page Submission,Google,No,No,6,726,2,Unemployed,Unkown,10,16,Modified,0,11.00149874
API,Google,No,No,8,1286,4,Unemployed,Not Sure,15,15,Modified,1,33.25392888
Landing Page Submission,Direct Traffic,No,No,6,184,6,Unemployed,Might be,14,16,SMS Sent,0,66.86665956
Landing Page Submission,Direct Traffic,Yes,No,6,330,3,Unknown,Unkown,14,16,Page Visited on Website,0,3.413274581
Landing Page Submission,Direct Traffic,Yes,No,2,171,2,Unemployed,Unkown,14,16,SMS Sent,0,17.36431966
Landing Page Submission,Google,No,No,2,942,2,Unemployed,Not Sure,14,16,Email Opened,0,27.51569304
Landing Page Submission,Google,No,No,6,1803,3,Unemployed,High in Relevance,14,16,Page Visited on Website,1,87.8821016
Landing Page Submission,Google,No,No,5,451,5,Working Professional,Might be,14,16,Email Opened,1,86.60535452
Landing Page Submission,Direct Traffic,No,No,3,141,3,Unemployed,Unkown,14,16,Email Opened,0,7.46978854
Landing Page Submission,Google,No,No,3,301,3,Unemployed,Worst,14,16,Email Opened,0,11.31497264
Landing Page Submission,Direct Traffic,No,No,2,1530,2,Unemployed,Might be,14,16,SMS Sent,1,97.0078564
Landing Page Submission,Direct Traffic,No,No,11,1086,5.5,Unknown,Unkown,14,16,SMS Sent,1,52.90053823
Landing Page Submission,Direct Traffic,No,No,6,252,6,Unemployed,Not Sure,14,16,Modified,0,1.973311208
Landing Page Submission,Direct Traffic,No,No,11,702,2.75,Unemployed,Unkown,14,16,Page Visited on Website,1,19.8216733
Landing Page Submission,Google,Yes,No,2,38,2,Unemployed,Unkown,14,16,Modified,0,2.153230445
Landing Page Submission,Referral Sites,Yes,No,7,259,2.33,Unknown,Unkown,12,14,Modified,0,2.32655715
Landing Page Submission,Direct Traffic,No,No,5,1443,2.5,Unknown,Unkown,14,16,Email Opened,1,36.95845181
Landing Page Submission,Google,No,No,5,781,5,Unemployed,Unkown,14,16,SMS Sent,1,59.65804672
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,14,16,Modified,0,5.724457493
API,Organic Search,No,No,2,80,2,Unemployed,Worst,14,16,SMS Sent,0,42.82265035
Landing Page Submission,Google,No,No,8,396,2.67,Unemployed,Unkown,14,16,Email Opened,1,18.12898205
Landing Page Submission,Google,No,No,4,1166,4,Unemployed,Unkown,14,16,SMS Sent,0,76.38764364
Landing Page Submission,Direct Traffic,Yes,No,5,583,5,Unknown,Unkown,14,16,Modified,0,1.87706352
Landing Page Submission,Google,No,No,2,1318,2,Unemployed,Not Sure,14,16,SMS Sent,1,76.86630972
Lead Add Form,Reference,No,No,0,0,0,Unemployed,High in Relevance,14,16,SMS Sent,1,97.57105592
Landing Page Submission,Google,No,No,6,1129,3,Unemployed,Unkown,14,16,Email Opened,1,44.0585951
Landing Page Submission,Direct Traffic,Yes,No,1,355,1,Unknown,Unkown,14,16,Modified,0,1.700674837
Landing Page Submission,Organic Search,No,No,5,830,5,Unemployed,Low in Relevance,14,16,SMS Sent,1,93.07702604
API,Olark Chat,No,No,4,164,1.33,Unknown,Unkown,14,16,Modified,0,7.206477165
Landing Page Submission,Direct Traffic,No,No,4,1503,2,Unemployed,High in Relevance,14,16,SMS Sent,1,93.37515972
Landing Page Submission,Direct Traffic,No,No,4,21,4,Unemployed,Might be,14,16,Email Opened,0,28.50096657
Landing Page Submission,Direct Traffic,No,No,7,386,2.33,Unknown,Unkown,14,18,Email Opened,0,8.061597577
Landing Page Submission,Direct Traffic,No,No,2,460,2,Unknown,Unkown,14,16,Email Opened,0,8.79054144
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,14,16,Olark Chat Conversation,0,12.00674721
Landing Page Submission,Google,No,No,2,849,2,Unemployed,Unkown,14,16,SMS Sent,1,67.97768622
Landing Page Submission,Direct Traffic,No,No,14,545,7,Unemployed,Unkown,14,16,Email Link Clicked,0,12.427864
API,Olark Chat,No,No,0,0,0,Unemployed,Not Sure,14,16,Modified,0,6.147124168
API,Organic Search,No,No,8,960,2.67,Unemployed,Might be,14,16,SMS Sent,1,97.1067097
Landing Page Submission,Direct Traffic,Yes,No,3,300,3,Unemployed,Unkown,14,16,SMS Sent,0,19.72937517
Landing Page Submission,Direct Traffic,No,No,3,1678,1.5,Unemployed,Worst,14,16,Page Visited on Website,0,52.65843034
API,Organic Search,No,No,7,215,7,Unemployed,Unkown,14,16,Olark Chat Conversation,0,14.10577775
Landing Page Submission,Direct Traffic,No,No,5,901,5,Unknown,Unkown,14,16,Modified,0,6.204299994
API,Olark Chat,No,No,0,0,0,Unemployed,Not Sure,14,16,SMS Sent,1,42.59592021
API,Olark Chat,No,No,0,0,0,Unemployed,Not Sure,14,16,SMS Sent,1,42.59592021
Landing Page Submission,Direct Traffic,No,No,2,379,2,Unemployed,Not Sure,14,16,Email Opened,0,8.227635371
Landing Page Submission,Google,No,No,6,1251,2,Unemployed,Might be,16,18,Modified,1,75.83300529
API,Olark Chat,No,No,2,166,1,Unknown,Unkown,14,16,Email Opened,1,16.62349549
Landing Page Submission,Google,No,No,7,970,2.33,Unemployed,Low in Relevance,14,16,Email Opened,1,83.91109426
Landing Page Submission,Direct Traffic,No,No,2,1521,2,Unemployed,Not Sure,14,16,SMS Sent,1,76.09242173
Landing Page Submission,Direct Traffic,No,No,3,163,1.5,Unknown,Unkown,14,16,Email Opened,0,5.657650521
Landing Page Submission,Google,No,No,2,306,2,Unemployed,Unkown,14,16,Modified,0,6.493723306
Landing Page Submission,Direct Traffic,Yes,No,2,1064,2,Unknown,Unkown,14,16,Modified,0,5.519643213
Lead Add Form,Reference,No,No,3,940,2,Unemployed,Low in Relevance,14,16,Modified,1,97.9524558
Landing Page Submission,Organic Search,No,No,5,176,2.5,Unemployed,Unkown,14,16,Email Opened,0,12.68631335
Landing Page Submission,Direct Traffic,Yes,No,2,453,2,Unemployed,Not Sure,14,16,Modified,0,2.020925954
Landing Page Submission,Direct Traffic,No,No,3,1410,3,Unknown,Unkown,14,16,Email Opened,0,33.58052285
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,14,16,Modified,0,5.724457493
Lead Add Form,Reference,No,No,3,1431,1,Unemployed,High in Relevance,14,16,Page Visited on Website,1,99.09972668
Landing Page Submission,Organic Search,No,No,4,685,4,Unemployed,Worst,14,16,Modified,0,8.631268619
Landing Page Submission,Google,No,No,3,143,3,Working Professional,Might be,14,16,SMS Sent,1,94.99673973
Landing Page Submission,Google,No,No,2,910,2,Unemployed,High in Relevance,15,20,Modified,1,38.4780206
Landing Page Submission,Direct Traffic,No,No,8,391,8,Unknown,Unkown,14,16,Modified,0,2.012781493
API,Olark Chat,No,No,0,0,0,Unknown,Unkown,14,16,Email Opened,0,13.51482013
Landing Page Submission,Direct Traffic,No,No,2,1036,2,Unemployed,Unkown,14,16,Email Opened,0,30.96782929
Landing Page Submission,Direct Traffic,No,No,6,1197,3,Unemployed,Not Sure,14,16,SMS Sent,1,63.28046088
API,Olark Chat,No,No,0,0,0,Unemployed,Unkown,14,16,Modified,0,8.976659202
API,Olark Chat,Yes,No,0,0,0,Unknown,Unkown,14,16,Modified,1,3.044732498
API,Google,No,No,2,39,2,Unemployed,Not Sure,14,16,SMS Sent,1,36.67146778
Landing Page Submission,Google,No,No,5,157,5,Unemployed,Might be,14,16,SMS Sent,0,75.87734461
Landing Page Submission,Organic Search,No,No,5,1027,5,Unemployed,Not Sure,14,16,SMS Sent,1,61.1480887
API,Olark Chat,Yes,No,0,0,0,Unemployed,Unkown,14,16,SMS Sent,1,36.62209203
Landing Page Submission,Organic Search,No,No,23,176,2.56,Unemployed,Low in Relevance,15,19,Modified,0,40.00987318
Landing Page Submission,Direct Traffic,No,No,5,278,2.5,Unemployed,Unkown,12,16,Modified,0,3.704340206
Lead Add Form,Welingak Website,No,No,1,69,1,Unemployed,Unkown,14,16,Email Opened,1,69.9937639
API,Google,No,No,5,1449,5,Unknown,Unkown,14,16,Email Opened,0,55.8719405
API,Google,No,No,4,733,4,Unemployed,Unkown,14,16,Modified,1,18.93799451
API,Olark Chat,No,No,10,293,2.5,Unemployed,Unkown,14,16,Email Opened,0,29.13707013
Landing Page Submission,Google,No,No,3,1646,3,Unemployed,High in Relevance,14,16,SMS Sent,1,96.09716671
Landing Page Submission,Direct Traffic,No,No,8,84,8,Unemployed,Not Sure,14,16,SMS Sent,0,12.52782165
Landing Page Submission,Organic Search,No,No,3,215,3,Unknown,Unkown,14,16,Modified,0,3.306383032
Landing Page Submission,Direct Traffic,Yes,No,2,165,2,Unknown,Unkown,14,16,Modified,0,1.116918664
API,Olark Chat,No,No,1,689,1,Unemployed,Not Sure,14,16,SMS Sent,0,70.72361514
API,Organic Search,No,No,4,1557,2,Unemployed,Might be,14,16,SMS Sent,1,98.9983607
Landing Page Submission,Google,No,No,3,983,3,Unemployed,Unkown,14,16,Email Opened,0,36.27416413
API,Organic Search,No,No,2,256,2,Unknown,Unkown,14,16,Modified,0,6.71758321
Lead Add Form,Reference,No,No,0,0,0,Unemployed,High in Relevance,14,16,Modified,1,78.00121385
API,Google,No,No,2,231,2,Unknown,Unkown,14,16,Email Opened,0,14.76429453
Landing Page Submission,Direct Traffic,No,No,3,1494,3,Working Professional,Might be,14,16,SMS Sent,1,99.33015768
